#HP Len	OC rate	UC rate
4	0.4888764085655277	0.46190079350701113
5	0.4703328509406657	0.4337313072841293
6	0.43225558121632024	0.4020400307929176
7	0.33108393083087306	0.3099957823703079
8	0.37410805300713557	0.3516819571865443
9	0.3997113997113997	0.3492063492063492
10	0.5045317220543807	0.47129909365558914
11	0.5730337078651685	0.5
12	0.4536082474226804	0.4639175257731959
13	0.46808510638297873	0.48936170212765956
14	0.42857142857142855	0.49206349206349204
15	0.5128205128205128	0.48717948717948717
16	0.45454545454545453	0.5
17	0.5217391304347826	0.391304347826087
18	0.6363636363636364	0.5454545454545454
19	0.42857142857142855	0.5714285714285714
20	0.8571428571428571	0.8571428571428571
21	0.8333333333333334	0.5
22	1.0	1.0
23	0	0
24	0	1
25	1.0	0.0
26	0	0
27	0.6	0.6
28	1.0	0.5
29	0.6666666666666666	0.3333333333333333
30	0.8	0.8
31	1.0	0.3333333333333333
32	0.5	1.0
33	0	0
34	1.0	0.75
35	1.0	0.0
36	1.0	0.8
37	0	0
38	1.0	0.0
