name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Helicobacter pylori	210	species	5058328	4997	1992	0.000496361
Acinetobacter baumannii	470	species	11893028	22396	726	0.305057
Escherichia coli	562	species	5070115	4236	4206	0.00178705
Nitratidesulfovibrio vulgaris str. Hildenborough	882	strain	3773159	1846	1846	0.0
Streptococcus pneumoniae	1313	species	2160842	4601	1956	0.120446
Clostridium butyricum	1492	species	9410692	11497	683	0.170306
Clostridium perfringens	1502	species	3256683	2893	2812	0.0
Clostridium septicum	1504	species	6803993	10367	2175	0.0746635
Clostridium sporogenes	1509	species	12562466	26507	1304	0.320912
Staphylococcus aureus subsp. aureus NCTC 8325	93061	strain	2821361	2963	2963	0.0
Enterobacter hormaechei	158836	species	4670207	5338	5332	0.000358408
Streptococcus pneumoniae TIGR4	170187	strain	2160842	554	524	0.000395564
Clostridium perfringens ATCC 13124	195103	strain	3256683	898	816	0.0
Bacillus anthracis str. Ames	198094	strain	5227293	6501	100	0.00176116
Trichodesmium erythraeum IMS101	203124	strain	7750108	6699	6699	0.0
Bacillus anthracis str. 'Ames Ancestor'	261594	strain	5227419	6564	163	0
Escherichia coli O157:H7 str. Sakai	386585	strain	5498578	1359	1341	0
Escherichia coli str. K-12 substr. MG1655	511145	leaf	4641652	3494	3461	0.00381779
Clostridium saccharoperbutylacetonicum N1-4(HMT)	931276	leaf	6666445	4777	4777	0.0
Enterobacter hormaechei subsp. xiangfangensis	1296536	subspecies	4661849	3470	3463	0.0
Enterobacter hormaechei subsp. hoffmannii	1812934	subspecies	4678566	1600	1593	0.0
