name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Helicobacter pylori	210	species	5058328	4720	2274	0.00117578
Acinetobacter baumannii	470	species	11893028	9660	6872	0.00275044
Escherichia coli	562	species	5070115	2823	2816	0.00117304
Nitratidesulfovibrio vulgaris str. Hildenborough	882	strain	3773159	1848	1848	0.304217
Streptococcus pneumoniae	1313	species	2160842	4153	1750	0.0302762
Clostridium butyricum	1492	species	9410692	10187	1949	0.00473992
Clostridium perfringens	1502	species	3256683	1290	1214	0.00273935
Clostridium septicum	1504	species	6803993	9154	3398	0.000874114
Clostridium sporogenes	1509	species	12562466	12727	7250	0.00686475
Staphylococcus aureus subsp. aureus NCTC 8325	93061	strain	2821361	2966	2966	0.205531
Enterobacter hormaechei	158836	species	4670207	3708	3702	0.0108247
Streptococcus pneumoniae TIGR4	170187	strain	2160842	902	859	0.00275238
Clostridium perfringens ATCC 13124	195103	strain	3256683	2495	2419	0.0127836
Bacillus anthracis str. Ames	198094	strain	5227293	6590	170	0.0255998
Trichodesmium erythraeum IMS101	203124	strain	7750108	6705	6705	0.210652
Bacillus anthracis str. 'Ames Ancestor'	261594	strain	5227419	6502	82	0
Escherichia coli O157:H7 str. Sakai	386585	strain	5498578	3331	3330	0.00540818
Escherichia coli str. K-12 substr. MG1655	511145	leaf	4641652	2869	2862	0.0
Clostridium saccharoperbutylacetonicum N1-4(HMT)	931276	leaf	6666445	4816	4816	0.143636
Enterobacter hormaechei subsp. xiangfangensis	1296536	subspecies	4661849	3408	3408	0.0095683
Enterobacter hormaechei subsp. hoffmannii	1812934	subspecies	4678566	3332	3332	0.0184326
