Assembly	corrected
# contigs (>= 0 bp)	80411
# contigs (>= 1000 bp)	80408
# contigs (>= 5000 bp)	80248
# contigs (>= 10000 bp)	57599
# contigs (>= 25000 bp)	15
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	951395722
Total length (>= 1000 bp)	951393855
Total length (>= 5000 bp)	950666522
Total length (>= 10000 bp)	757626906
Total length (>= 25000 bp)	391333
Total length (>= 50000 bp)	0
# contigs	80411
Largest contig	27171
Total length	951395722
Reference length	114988559
N50	12335
N90	8862
auN	12568.7
L50	32345
L90	68030
# misassemblies	17
# misassembled contigs	16
Misassembled contigs length	227617
# local misassemblies	378
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	7
# unaligned contigs	1 + 277 part
Unaligned length	542502
Genome fraction (%)	80.916
Duplication ratio	11.322
# N's per 100 kbp	0.00
# mismatches per 100 kbp	233.51
# indels per 100 kbp	100.14
Largest alignment	27171
Total aligned length	950320912
NA50	12319
NA90	8836
auNA	12543.0
LA50	32376
LA90	68124
