name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Helicobacter pylori	210	species	5058328	4046	2948	0.0
Acinetobacter baumannii	470	species	11893028	10031	7171	0.0994531
Escherichia coli	562	species	5070115	2241	2235	0.0
Nitratidesulfovibrio vulgaris str. Hildenborough	882	strain	3773159	1847	1847	0.0
Streptococcus pneumoniae	1313	species	2160842	5053	2441	0.338087
Clostridium butyricum	1492	species	9410692	8771	3515	0.00123222
Clostridium perfringens	1502	species	3256683	401	367	0.0
Clostridium septicum	1504	species	6803993	10051	2597	0.0
Clostridium sporogenes	1509	species	12562466	19083	5087	0.561228
Staphylococcus aureus subsp. aureus NCTC 8325	93061	strain	2821361	2969	2969	0.0
Enterobacter hormaechei	158836	species	4670207	3449	3445	0.0
Streptococcus pneumoniae TIGR4	170187	strain	2160842	95	69	0
Clostridium perfringens ATCC 13124	195103	strain	3256683	3337	3303	0.0
Bacillus anthracis str. Ames	198094	strain	5227293	6608	184	0.0
Trichodesmium erythraeum IMS101	203124	strain	7750108	6705	6705	0.0
Bacillus anthracis str. 'Ames Ancestor'	261594	strain	5227419	6485	61	0.0
Escherichia coli O157:H7 str. Sakai	386585	strain	5498578	4037	4036	0.0
Escherichia coli str. K-12 substr. MG1655	511145	leaf	4641652	2735	2729	0.0
Clostridium saccharoperbutylacetonicum N1-4(HMT)	931276	leaf	6666445	4676	4676	0.0
Enterobacter hormaechei subsp. xiangfangensis	1296536	subspecies	4661849	3796	3795	0.0
Enterobacter hormaechei subsp. hoffmannii	1812934	subspecies	4678566	3211	3210	0.0
