name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Helicobacter pylori	210	species	5058328	4971	2023	0.0
Acinetobacter baumannii	470	species	11893028	9824	6638	0.0
Escherichia coli	562	species	5070115	2284	2278	0.0
Nitratidesulfovibrio vulgaris str. Hildenborough	882	strain	3773159	1848	1848	0.0
Streptococcus pneumoniae	1313	species	2160842	3659	2190	0.0
Clostridium butyricum	1492	species	9410692	9665	2471	0.0
Clostridium perfringens	1502	species	3256683	1480	1441	0.0
Clostridium septicum	1504	species	6803993	8173	4377	0.0
Clostridium sporogenes	1509	species	12562466	12134	7841	0.0
Staphylococcus aureus subsp. aureus NCTC 8325	93061	strain	2821361	2966	2966	0.0
Enterobacter hormaechei	158836	species	4670207	3707	3699	0.0
Streptococcus pneumoniae TIGR4	170187	strain	2160842	909	891	0.0
Clostridium perfringens ATCC 13124	195103	strain	3256683	2268	2229	0.0
Bacillus anthracis str. Ames	198094	strain	5227293	6567	118	0.0
Trichodesmium erythraeum IMS101	203124	strain	7750108	6705	6705	0.0
Bacillus anthracis str. 'Ames Ancestor'	261594	strain	5227419	6553	104	0.0
Escherichia coli O157:H7 str. Sakai	386585	strain	5498578	2519	2517	0.0
Escherichia coli str. K-12 substr. MG1655	511145	leaf	4641652	4219	4213	0.0
Clostridium saccharoperbutylacetonicum N1-4(HMT)	931276	leaf	6666445	4814	4814	0.0
Enterobacter hormaechei subsp. xiangfangensis	1296536	subspecies	4661849	3359	3359	0.0
Enterobacter hormaechei subsp. hoffmannii	1812934	subspecies	4678566	3383	3383	0.0
