name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Helicobacter pylori	210	species	5058328	3995	2990	0.0
Acinetobacter baumannii	470	species	11893028	16536	3569	0.56186
Escherichia coli	562	species	5070115	2713	2706	0.0
Nitratidesulfovibrio vulgaris str. Hildenborough	882	strain	3773159	1843	1843	0.0
Streptococcus pneumoniae	1313	species	2160842	4601	2789	0.0411635
Clostridium butyricum	1492	species	9410692	7543	4664	0.000393825
Clostridium perfringens	1502	species	3256683	467	453	0.0
Clostridium septicum	1504	species	6803993	8073	5583	0.0430316
Clostridium sporogenes	1509	species	12562466	17295	5260	0.352842
Staphylococcus aureus subsp. aureus NCTC 8325	93061	strain	2821361	2978	2978	0.0
Enterobacter hormaechei	158836	species	4670207	3365	3363	0.0
Streptococcus pneumoniae TIGR4	170187	strain	2160842	145	119	0
Clostridium perfringens ATCC 13124	195103	strain	3256683	3272	3257	0.0
Bacillus anthracis str. Ames	198094	strain	5227293	6385	152	0.000709002
Trichodesmium erythraeum IMS101	203124	strain	7750108	6693	6693	0.0
Bacillus anthracis str. 'Ames Ancestor'	261594	strain	5227419	6297	64	0
Escherichia coli O157:H7 str. Sakai	386585	strain	5498578	3765	3757	0.0
Escherichia coli str. K-12 substr. MG1655	511145	leaf	4641652	2572	2564	0.0
Clostridium saccharoperbutylacetonicum N1-4(HMT)	931276	leaf	6666445	4435	4433	0.0
Enterobacter hormaechei subsp. xiangfangensis	1296536	subspecies	4661849	3626	3622	0.0
Enterobacter hormaechei subsp. hoffmannii	1812934	subspecies	4678566	3440	3436	0.0
