name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Helicobacter pylori	210	species	5058328	4069	2925	0.000478891
Acinetobacter baumannii	470	species	11893028	22546	690	0.225475
Escherichia coli	562	species	5070115	3013	3003	0
Nitratidesulfovibrio vulgaris str. Hildenborough	882	strain	3773159	1848	1848	0.000214002
Streptococcus pneumoniae	1313	species	2160842	4982	2529	0.113972
Clostridium butyricum	1492	species	9410692	10722	1420	0.0671834
Clostridium perfringens	1502	species	3256683	310	249	0.0012397
Clostridium septicum	1504	species	6803993	10530	2028	0.207443
Clostridium sporogenes	1509	species	12562466	27045	1115	0.223358
Staphylococcus aureus subsp. aureus NCTC 8325	93061	strain	2821361	2966	2966	0.0223233
Enterobacter hormaechei	158836	species	4670207	3596	3590	0.000172896
Streptococcus pneumoniae TIGR4	170187	strain	2160842	86	61	2.11643e-18
Clostridium perfringens ATCC 13124	195103	strain	3256683	3461	3400	0
Bacillus anthracis str. Ames	198094	strain	5227293	6637	252	0.132741
Trichodesmium erythraeum IMS101	203124	strain	7750108	6705	6705	0.000312562
Bacillus anthracis str. 'Ames Ancestor'	261594	strain	5227419	6418	33	0.00473725
Escherichia coli O157:H7 str. Sakai	386585	strain	5498578	3281	3280	0.0
Escherichia coli str. K-12 substr. MG1655	511145	leaf	4641652	2730	2720	0.00034792
Clostridium saccharoperbutylacetonicum N1-4(HMT)	931276	leaf	6666445	4803	4803	0.0
Enterobacter hormaechei subsp. xiangfangensis	1296536	subspecies	4661849	3538	3537	0.0
Enterobacter hormaechei subsp. hoffmannii	1812934	subspecies	4678566	3317	3316	0.0
