name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Helicobacter pylori	210	species	5058328	5136	1858	0.0
Acinetobacter baumannii	470	species	11893028	11977	4493	0.0
Escherichia coli	562	species	5070115	2728	2728	0.0
Nitratidesulfovibrio vulgaris str. Hildenborough	882	strain	3773159	1848	1848	0.0
Streptococcus pneumoniae	1313	species	2160842	3893	1926	0.0
Clostridium butyricum	1492	species	9410692	7129	5007	0.0
Clostridium perfringens	1502	species	3256683	1271	1263	0.0
Clostridium septicum	1504	species	6803993	6345	6205	0.0
Clostridium sporogenes	1509	species	12562466	14446	5528	0.0
Staphylococcus aureus subsp. aureus NCTC 8325	93061	strain	2821361	2966	2966	0.0
Enterobacter hormaechei	158836	species	4670207	3667	3665	0.0
Streptococcus pneumoniae TIGR4	170187	strain	2160842	929	898	0.0
Clostridium perfringens ATCC 13124	195103	strain	3256683	2446	2438	0.0
Bacillus anthracis str. Ames	198094	strain	5227293	6628	82	0.0
Trichodesmium erythraeum IMS101	203124	strain	7750108	6705	6705	0.0
Bacillus anthracis str. 'Ames Ancestor'	261594	strain	5227419	6589	43	0.0
Escherichia coli O157:H7 str. Sakai	386585	strain	5498578	3355	3354	0.0
Escherichia coli str. K-12 substr. MG1655	511145	leaf	4641652	2932	2931	0.0
Clostridium saccharoperbutylacetonicum N1-4(HMT)	931276	leaf	6666445	4814	4814	0.0
Enterobacter hormaechei subsp. xiangfangensis	1296536	subspecies	4661849	3382	3382	0.0
Enterobacter hormaechei subsp. hoffmannii	1812934	subspecies	4678566	3398	3398	0.0
