name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Helicobacter pylori	210	species	5058328	4616	2378	0.0417332
Acinetobacter baumannii	470	species	11893028	22731	525	0.135868
Escherichia coli	562	species	5070115	3605	3579	0.0120645
Nitratidesulfovibrio vulgaris str. Hildenborough	882	strain	3773159	1848	1848	0.00216224
Streptococcus pneumoniae	1313	species	2160842	4006	1804	0.122699
Clostridium butyricum	1492	species	9410692	11225	917	0.0822505
Clostridium perfringens	1502	species	3256683	1582	1507	0.00633245
Clostridium septicum	1504	species	6803993	10174	2394	0.127851
Clostridium sporogenes	1509	species	12562466	24282	2300	0.106304
Staphylococcus aureus subsp. aureus NCTC 8325	93061	strain	2821361	2967	2967	0.102293
Enterobacter hormaechei	158836	species	4670207	3731	3725	0.0376679
Streptococcus pneumoniae TIGR4	170187	strain	2160842	936	911	0.00095118
Clostridium perfringens ATCC 13124	195103	strain	3256683	2216	2141	0.00588013
Bacillus anthracis str. Ames	198094	strain	5227293	6600	213	0.146246
Trichodesmium erythraeum IMS101	203124	strain	7750108	6704	6704	0.00210538
Bacillus anthracis str. 'Ames Ancestor'	261594	strain	5227419	6458	71	0.0559662
Escherichia coli O157:H7 str. Sakai	386585	strain	5498578	2320	2318	0.000186272
Escherichia coli str. K-12 substr. MG1655	511145	leaf	4641652	3121	3095	0.00923109
Clostridium saccharoperbutylacetonicum N1-4(HMT)	931276	leaf	6666445	4818	4818	0.00198869
Enterobacter hormaechei subsp. xiangfangensis	1296536	subspecies	4661849	3419	3417	0.000218756
Enterobacter hormaechei subsp. hoffmannii	1812934	subspecies	4678566	3296	3294	0.0
