genome_ID	OTU	NCBI_ID	novelty_category
GCF_000021065.1_ASM2106v1	9	9	known_strain
GCF_000183285.1_ASM18328v1	9	9	known_strain
GCF_000021085.1_ASM2108v1	9	9	known_strain
GCF_009730575.1_ASM973057v1	24	24	known_strain
GCF_006402015.1_ASM640201v1	34	34	known_strain
GCF_000219105.1_ASM21910v1	35	35	known_strain
GCF_002305895.1_ASM230589v1	35	35	known_strain
GCF_004135755.1_ASM413575v1	56	56	known_strain
GCF_000418325.1_ASM41832v1	56	56	known_strain
GCF_005954665.1_ASM595466v1	69	69	known_strain
GCF_009720545.1_ASM972054v1	122	122	known_strain
GCF_003367295.1_ASM336729v1	139	139	known_strain
GCF_023035675.1_ASM2303567v1	140	140	known_strain
GCF_023035795.1_ASM2303579v1	140	140	known_strain
GCF_000512145.1_ASM51214v2	141	141	known_strain
GCF_023035415.1_ASM2303541v1	142	142	known_strain
GCF_023035855.1_ASM2303585v1	142	142	known_strain
GCF_025905525.1_ASM2590552v1	158	158	known_strain
GCF_024181545.1_ASM2418154v1	158	158	known_strain
GCF_024181485.1_ASM2418148v1	158	158	known_strain
GCF_002850235.1_ASM285023v1	159	159	known_strain
GCF_017751225.1_ASM1775122v1	159	159	known_strain
GCF_000022105.1_ASM2210v1	159	159	known_strain
GCF_029866705.1_ASM2986670v1	160	160	known_strain
GCF_008152825.1_ASM815282v1	162	162	known_strain
GCF_008153055.1_ASM815305v1	162	162	known_strain
GCF_017161245.1_ASM1716124v1	162	162	known_strain
GCF_001293065.1_ASM129306v1	173	173	known_strain
GCF_005222585.1_ASM522258v1	173	173	known_strain
GCF_024704545.1_ASM2470454v1	174	174	known_strain
GCF_005222205.1_ASM522220v1	192	192	known_strain
GCF_024752555.1_ASM2475255v1	195	195	known_strain
GCF_000759485.1_ASM75948v1	196	196	known_strain
GCF_912579705.1_CJ121364	197	197	known_strain
GCF_005844045.1_ASM584404v1	198	198	known_strain
GCF_001643955.1_ASM164395v1	198	198	known_strain
GCF_902385735.1_UHGG_MGYG-HGUT-02307	198	198	known_strain
GCF_015680025.1_ASM1568002v1	199	199	known_strain
GCF_000017725.2_ASM1772v2	199	199	known_strain
GCF_003048375.1_ASM304837v1	199	199	known_strain
GCF_000017465.2_ASM1746v2	200	200	known_strain
GCF_001017575.1_ASM101757v1	201	201	known_strain
GCF_900638335.1_57141_E01	201	201	known_strain
GCF_000816405.1_ASM81640v1	201	201	known_strain
GCF_004803775.1_ASM480377v1	202	202	known_strain
GCF_002220775.1_ASM222077v1	206	206	known_strain
GCF_002220735.1_ASM222073v1	206	206	known_strain
GCF_002220755.1_ASM222075v1	206	206	known_strain
GCF_000498335.1_ASM49833v1	210	210	known_strain
GCF_006337405.1_ASM633740v1	210	210	known_strain
GCF_020735805.1_ASM2073580v1	210	210	known_strain
GCF_003213825.2_ASM321382v2	213	213	known_strain
GCF_003214155.2_ASM321415v2	213	213	known_strain
GCF_000349975.1_ASM34997v1	213	213	known_strain
GCF_000740135.1_ASM74013v1	235	235	known_strain
GCF_000740155.1_ASM74015v1	235	235	known_strain
GCF_002022145.1_ASM202214v1	238	238	known_strain
GCF_011612125.1_ASM1161212v1	238	238	known_strain
GCF_009834475.1_ASM983447v1	247	247	known_strain
GCF_002208925.2_ASM220892v2	253	253	known_strain
GCF_016694815.1_ASM1669481v1	253	253	known_strain
GCF_003815915.1_ASM381591v1	254	254	known_strain
GCF_003815895.1_ASM381589v1	254	254	known_strain
GCF_016657085.1_ASM1665708v1	254	254	known_strain
GCF_016726985.1_ASM1672698v1	256	256	known_strain
GCF_016727005.1_ASM1672700v1	256	256	known_strain
GCF_000833355.1_ASM83335v1	263	263	known_strain
GCF_022846355.1_ASM2284635v1	274	274	known_strain
GCF_014076415.1_ASM1407641v1	285	285	known_strain
GCF_029026905.1_ASM2902690v1	285	285	known_strain
GCF_029961525.1_ASM2996152v1	287	287	known_strain
GCF_002192495.1_ASM219249v1	287	287	known_strain
GCF_009586235.1_ASM958623v1	292	292	known_strain
GCF_023374475.1_ASM2337447v1	292	292	known_strain
GCF_001747385.1_ASM174738v1	294	294	known_strain
GCF_016728065.1_ASM1672806v1	294	294	known_strain
GCF_002128325.1_ASM212832v1	296	296	known_strain
GCF_017798225.1_ASM1779822v1	300	300	known_strain
GCF_029814875.1_ASM2981487v1	301	301	known_strain
GCF_000297075.2_Ppseudo_final	301	301	known_strain
GCF_000281215.1_ASM28121v1	303	303	known_strain
GCF_015698365.1_ASM1569836v1	305	305	known_strain
GCF_024972815.1_ASM2497281v1	316	316	known_strain
GCF_003008495.1_ASM300849v1	316	316	known_strain
GCF_000452605.2_ASM45260v3	317	317	known_strain
GCF_024760625.1_ASM2476062v1	337	337	known_strain
GCF_013122645.1_ASM1312264v1	337	337	known_strain
GCF_000012105.1_ASM1210v1	339	339	known_strain
GCF_023206795.1_ASM2320679v1	339	339	known_strain
GCF_023221635.1_ASM2322163v1	343	343	known_strain
GCF_017301695.1_ASM1730169v1	343	343	known_strain
GCF_003050685.1_ASM305068v1	343	343	known_strain
GCF_002019265.2_ASM201926v2	346	346	known_strain
GCF_002288585.1_ASM228858v1	346	346	known_strain
GCF_001042735.1_ASM104273v1	347	347	known_strain
GCF_002220155.1_ASM222015v1	353	353	known_strain
GCF_016406165.1_ASM1640616v1	353	353	known_strain
GCF_000817975.1_ASM81797v1	353	353	known_strain
GCF_030506185.1_ASM3050618v1	354	354	known_strain
GCF_000380335.1_ASM38033v1	354	354	known_strain
