name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Helicobacter pylori	210	species	5058328	4654	2340	0.0459666
Acinetobacter baumannii	470	species	11893028	22067	938	0.14737
Escherichia coli	562	species	5070115	3340	3317	0.0135965
Nitratidesulfovibrio vulgaris str. Hildenborough	882	strain	3773159	1848	1848	0.00394271
Streptococcus pneumoniae	1313	species	2160842	3759	1941	0.0392676
Clostridium butyricum	1492	species	9410692	11553	585	0.118385
Clostridium perfringens	1502	species	3256683	1857	1764	0
Clostridium septicum	1504	species	6803993	10499	2053	0.167222
Clostridium sporogenes	1509	species	12562466	26169	1573	0.162411
Staphylococcus aureus subsp. aureus NCTC 8325	93061	strain	2821361	2966	2966	0.048627
Enterobacter hormaechei	158836	species	4670207	3756	3750	0.0201742
Streptococcus pneumoniae TIGR4	170187	strain	2160842	997	961	0.00178489
Clostridium perfringens ATCC 13124	195103	strain	3256683	1945	1852	0.0099819
Bacillus anthracis str. Ames	198094	strain	5227293	6609	191	0.161785
Trichodesmium erythraeum IMS101	203124	strain	7750108	6705	6705	0.00199061
Bacillus anthracis str. 'Ames Ancestor'	261594	strain	5227419	6481	63	0.0387996
Escherichia coli O157:H7 str. Sakai	386585	strain	5498578	2819	2818	0.0
Escherichia coli str. K-12 substr. MG1655	511145	leaf	4641652	2880	2857	0.016961
Clostridium saccharoperbutylacetonicum N1-4(HMT)	931276	leaf	6666445	4812	4812	0.00173565
Enterobacter hormaechei subsp. xiangfangensis	1296536	subspecies	4661849	3393	3393	0.0
Enterobacter hormaechei subsp. hoffmannii	1812934	subspecies	4678566	3299	3299	0.0
