Assembly	corrected
# contigs (>= 0 bp)	80411
# contigs (>= 1000 bp)	80408
# contigs (>= 5000 bp)	80248
# contigs (>= 10000 bp)	57528
# contigs (>= 25000 bp)	15
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	950870683
Total length (>= 1000 bp)	950868822
Total length (>= 5000 bp)	950141858
Total length (>= 10000 bp)	756498555
Total length (>= 25000 bp)	391051
Total length (>= 50000 bp)	0
# contigs	80411
Largest contig	27160
Total length	950870683
Reference length	114988559
N50	12329
N90	8857
auN	12561.8
L50	32345
L90	68030
# misassemblies	67
# misassembled contigs	47
Misassembled contigs length	611189
# local misassemblies	294
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	4
# unaligned contigs	1 + 204 part
Unaligned length	390790
Genome fraction (%)	80.732
Duplication ratio	11.319
# N's per 100 kbp	0.00
# mismatches per 100 kbp	475.40
# indels per 100 kbp	169.53
Largest alignment	27156
Total aligned length	949871976
NA50	12312
NA90	8829
auNA	12535.5
LA50	32379
LA90	68129
