name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Helicobacter pylori	210	species	5058328	4908	2086	0.0
Acinetobacter baumannii	470	species	11893028	9475	6992	0.0
Escherichia coli	562	species	5070115	2381	2377	0.0
Nitratidesulfovibrio vulgaris str. Hildenborough	882	strain	3773159	1848	1848	0.0
Streptococcus pneumoniae	1313	species	2160842	3617	2198	0.0
Clostridium butyricum	1492	species	9410692	10171	1963	0.0
Clostridium perfringens	1502	species	3256683	1438	1371	0.0
Clostridium septicum	1504	species	6803993	8723	3827	0.0
Clostridium sporogenes	1509	species	12562466	11778	8198	0.0
Staphylococcus aureus subsp. aureus NCTC 8325	93061	strain	2821361	2966	2966	0.0
Enterobacter hormaechei	158836	species	4670207	3711	3705	0.0
Streptococcus pneumoniae TIGR4	170187	strain	2160842	927	904	0.0
Clostridium perfringens ATCC 13124	195103	strain	3256683	2338	2271	0.0
Bacillus anthracis str. Ames	198094	strain	5227293	6566	133	0.0
Trichodesmium erythraeum IMS101	203124	strain	7750108	6705	6705	0.0
Bacillus anthracis str. 'Ames Ancestor'	261594	strain	5227419	6538	105	0.0
Escherichia coli O157:H7 str. Sakai	386585	strain	5498578	2396	2395	0.0
Escherichia coli str. K-12 substr. MG1655	511145	leaf	4641652	4244	4239	1
Clostridium saccharoperbutylacetonicum N1-4(HMT)	931276	leaf	6666445	4815	4815	0.0
Enterobacter hormaechei subsp. xiangfangensis	1296536	subspecies	4661849	3364	3364	0.0
Enterobacter hormaechei subsp. hoffmannii	1812934	subspecies	4678566	3372	3372	0.0
