bundle_path	source_path	sha256	role	status	reason
workflow/benchmark/README.md	/home/work/wenhai/dadec/benchmark/README.md	0e6177d50407770a3e895992ccd935885112b0f185e6ef602bc5be865a610d53	benchmark_or_method	included	current reproducible benchmark source
workflow/benchmark/Snakefile	/home/work/wenhai/dadec/benchmark/Snakefile	9f7f0230448638656f399dc217966f43a03a6a94bc42c2c06c6e2904e678dfbf	benchmark_or_method	included	current reproducible benchmark source
workflow/benchmark/Snakefile.ecoli3	/home/work/wenhai/dadec/benchmark/Snakefile.ecoli3	2aab2f3ca26a7209dec6b2c775a36c4f89a37852f7532209ecc8b19d576ddfbc	benchmark_or_method	included	current reproducible benchmark source
workflow/benchmark/assembly/Snakefile	/home/work/wenhai/dadec/benchmark/assembly/Snakefile	009b5ebc4548c8de3dbd97a5dbcd92c3705ea35b1ba2ce0f2944336fcf70c0c7	evaluation	included	current reproducible benchmark source
workflow/benchmark/config/classification/30strains_legacy.yaml	/home/work/wenhai/dadec/benchmark/config/classification/30strains_legacy.yaml	c5a6f6fb75da40731e23c753b16a10913ee3ba8f2a59e8fec19ab98ce84408a0	data_or_simulation	included	current reproducible benchmark source
workflow/benchmark/config/classification/config.example.yaml	/home/work/wenhai/dadec/benchmark/config/classification/config.example.yaml	62e45317374f6c95370aec8dcab44afd30deb326797d71268e6d2bca7379a6c3	data_or_simulation	included	current reproducible benchmark source
workflow/benchmark/config/common.yaml	/home/work/wenhai/dadec/benchmark/config/common.yaml	7648ff523de8c01763b626219ef8239784a536d08e1b97d24b92c00a2bc2636f	data_or_simulation	included	current reproducible benchmark source
workflow/benchmark/config/datasets/100strains.yaml	/home/work/wenhai/dadec/benchmark/config/datasets/100strains.yaml	22bdbfa3baf67da41b37ad9c6a241c11819faea34c0a158a828e9d7678e3b138	data_or_simulation	included	current reproducible benchmark source
workflow/benchmark/config/datasets/100strains_legacy.yaml	/home/work/wenhai/dadec/benchmark/config/datasets/100strains_legacy.yaml	a0019344a1579481c0bea307a3249086dfc476816635fbc8a5244a14f4aaccfb	data_or_simulation	included	current reproducible benchmark source
workflow/benchmark/config/datasets/30strains.yaml	/home/work/wenhai/dadec/benchmark/config/datasets/30strains.yaml	7cd3f79f0fd928d3fd80aceead553851961940a77ea4142dbf40ecec9b968f3c	data_or_simulation	included	current reproducible benchmark source
workflow/benchmark/config/datasets/30strains_legacy.yaml	/home/work/wenhai/dadec/benchmark/config/datasets/30strains_legacy.yaml	937d165b63a1799da28d1f640c283237693209de57ca018691b62b8c42ad6265	data_or_simulation	included	current reproducible benchmark source
workflow/benchmark/config/datasets/arabidopsis.yaml	/home/work/wenhai/dadec/benchmark/config/datasets/arabidopsis.yaml	71ed3a48683fc1b8335ffd18c85189441d30bb53d463bd519793c08c57aa717c	data_or_simulation	included	current reproducible benchmark source
workflow/benchmark/config/datasets/arabidopsis_genome_to_id.tsv	/home/work/wenhai/dadec/benchmark/config/datasets/arabidopsis_genome_to_id.tsv	ad727cd0ec61cd16cf5274b6b8f379f901a44c63e21205a97fb8b4323e856065	data_or_simulation	included	current reproducible benchmark source
workflow/benchmark/config/datasets/arabidopsis_sim.yaml	/home/work/wenhai/dadec/benchmark/config/datasets/arabidopsis_sim.yaml	0405c6f130fae215b0430188a58f4cf3fe1ede23519ba7ce5185f3f68324d917	data_or_simulation	included	current reproducible benchmark source
workflow/benchmark/config/datasets/drosophila.yaml	/home/work/wenhai/dadec/benchmark/config/datasets/drosophila.yaml	50032f2d57bd586d7a706272dd2bfe2742ab3b003e6ae554b911eb3ba112976e	data_or_simulation	included	current reproducible benchmark source
workflow/benchmark/config/datasets/drosophila_genome_to_id.tsv	/home/work/wenhai/dadec/benchmark/config/datasets/drosophila_genome_to_id.tsv	051723ec91838811e12f55a677a6842f6d26b38e2dd4d5e5b8d835c3faea1601	data_or_simulation	included	current reproducible benchmark source
workflow/benchmark/config/datasets/drosophila_genome_to_id_GCA_018904365.tsv	/home/work/wenhai/dadec/benchmark/config/datasets/drosophila_genome_to_id_GCA_018904365.tsv	8440f3df7b1e59f644591a9a7b343d9f5d2b30fbf3396a700c3e4c941cf0bc17	data_or_simulation	included	current reproducible benchmark source
workflow/benchmark/config/datasets/ecoli3.yaml	/home/work/wenhai/dadec/benchmark/config/datasets/ecoli3.yaml	e8bc44830ec35312bb5aaa09570d960d8f7ac96740d16ba72d8c6e2935a26f10	data_or_simulation	included	current reproducible benchmark source
workflow/benchmark/config/datasets/ecoli3_error.yaml	/home/work/wenhai/dadec/benchmark/config/datasets/ecoli3_error.yaml	6f6724a0b921d5999e356949807c2b482c92599254e432ec0dd0f6a8e0eb2aa4	data_or_simulation	included	current reproducible benchmark source
