name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Helicobacter pylori	210	species	5058328	4713	2281	0.00278809
Acinetobacter baumannii	470	species	11893028	9732	7239	0.00830079
Escherichia coli	562	species	5070115	2831	2819	0.00741763
Nitratidesulfovibrio vulgaris str. Hildenborough	882	strain	3773159	1848	1848	0.0616727
Streptococcus pneumoniae	1313	species	2160842	4278	1633	0.0347594
Clostridium butyricum	1492	species	9410692	11097	1035	0.0252268
Clostridium perfringens	1502	species	3256683	1304	1218	0.0123195
Clostridium septicum	1504	species	6803993	9855	2695	0.0231459
Clostridium sporogenes	1509	species	12562466	11403	8754	0.00561318
Staphylococcus aureus subsp. aureus NCTC 8325	93061	strain	2821361	2966	2966	0.408226
Enterobacter hormaechei	158836	species	4670207	3708	3702	0.0231518
Streptococcus pneumoniae TIGR4	170187	strain	2160842	896	855	0.00331281
Clostridium perfringens ATCC 13124	195103	strain	3256683	2491	2405	0.0114982
Bacillus anthracis str. Ames	198094	strain	5227293	6581	168	0.137925
Trichodesmium erythraeum IMS101	203124	strain	7750108	6706	6706	0.0388208
Bacillus anthracis str. 'Ames Ancestor'	261594	strain	5227419	6503	90	0.076562
Escherichia coli O157:H7 str. Sakai	386585	strain	5498578	3330	3329	0.000427477
Escherichia coli str. K-12 substr. MG1655	511145	leaf	4641652	2867	2855	0.00151919
Clostridium saccharoperbutylacetonicum N1-4(HMT)	931276	leaf	6666445	4815	4815	0.115297
Enterobacter hormaechei subsp. xiangfangensis	1296536	subspecies	4661849	3408	3408	0.00201681
Enterobacter hormaechei subsp. hoffmannii	1812934	subspecies	4678566	3332	3332	0.0
