Strain ID	SpeciesNames	mANI
GCF_000817005.1	Streptococcus pneumoniae	97.631653
GCF_002843545.1	Streptococcus pneumoniae	98.682487
GCF_003351525.1	Streptococcus pneumoniae	98.682487
GCF_000685705.1	Helicobacter pylori	95.950752
GCF_006337405.1	Helicobacter pylori	95.758545
GCF_007844035.1	Helicobacter pylori	95.950752
GCF_003018555.1	Escherichia coli	99.783363
GCF_003017915.1	Escherichia coli	99.783363
GCF_003790525.1	Escherichia coli	96.770805
GCF_003073995.1	Enterobacter hormaechei	98.762344
GCF_003408575.1	Enterobacter hormaechei	98.795883
GCF_008505035.1	Enterobacter hormaechei	98.795883
GCF_001020205.1	Clostridium sporogenes	99.225296
GCF_002865785.1	Clostridium sporogenes	95.233765
GCF_020099295.1	Clostridium sporogenes	99.225296
GCF_003606265.1	Clostridium septicum	99.61058
GCF_004101825.1	Clostridium septicum	99.61058
GCF_002003305.1	Clostridium saccharoperbutylacetonicum	78.980682
GCF_016026995.1	Clostridium perfringens	99.131485
GCF_018135545.1	Clostridium perfringens	99.131485
GCF_001465175.1	Clostridium butyricum	99.84137
GCF_001456065.2	Clostridium butyricum	99.84137
GCF_003431865.1	Acinetobacter baumannii	97.581833
GCF_006385075.1	Acinetobacter baumannii	97.660767
GCF_009455505.1	Acinetobacter baumannii	97.660767
GCF_000832965.1	Bacillus anthracis	97.119446
GCF_003410355.1	Bacillus anthracis	97.119446
GCF_001640905.1	Staphylococcus aureus	NA
GCF_003952845.1	Lactobacillus acidophilus	NA
GCF_003013635.1	Clostridium tetani	77.906731
