Strain,Max_ANI
GCF_000006745.1_ASM674v1_genomic.fna,79.5475
GCF_000006765.1_ASM676v1_genomic.fna,98.6944
GCF_000006885.1_ASM688v1_genomic.fna,98.6543
GCF_000006945.2_ASM694v2_genomic.fna,82.1746
GCF_000007125.1_ASM712v1_genomic.fna,99.6554
GCF_000007505.1_ASM750v1_genomic.fna,99.6554
GCF_000007785.1_ASM778v1_genomic.fna,N/A
GCF_000007845.1_ASM784v1_genomic.fna,99.9992
GCF_000008445.1_ASM844v1_genomic.fna,99.9992
GCF_000008485.1_ASM848v1_genomic.fna,N/A
GCF_000008865.2_ASM886v2_genomic.fna,98.1801
GCF_000009045.1_ASM904v1_genomic.fna,99.9803
GCF_000009065.1_ASM906v1_genomic.fna,N/A
GCF_000009085.1_ASM908v1_genomic.fna,N/A
GCF_000011325.1_ASM1132v1_genomic.fna,99.9918
GCF_000013285.1_ASM1328v1_genomic.fna,98.9179
GCF_000013425.1_ASM1342v1_genomic.fna,79.2089
GCF_000014265.1_ASM1426v1_genomic.fna,N/A
GCF_000195755.1_ASM19575v1_genomic.fna,N/A
GCF_000196035.1_ASM19603v1_genomic.fna,N/A
GCF_000196335.1_ASM19633v1_genomic.fna,99.9918
GCF_000215745.1_ASM21574v1_genomic.fna,99.9946
GCF_000290615.1_ASM29061v1_genomic.fna,99.8971
GCF_000340885.1_ASM34088v1_genomic.fna,79.1082
GCF_000369385.1_Acin_baum_CIP_70_34T_V1_genomic.fna,99.9933
GCF_000387565.1_ASM38756v1_genomic.fna,99.9404
GCF_000469365.1_ASM46936v1_genomic.fna,99.9436
GCF_000689235.1_GBCO_p1_genomic.fna,N/A
GCF_000829395.1_ASM82939v1_genomic.fna,N/A
GCF_000832905.1_ASM83290v1_genomic.fna,99.8971
GCF_000931755.1_ASM93175v1_genomic.fna,99.9856
GCF_000973705.1_ASM97370v1_genomic.fna,99.9985
GCF_001020205.1_ASM102020v1_genomic.fna,99.9985
GCF_001182285.1_6998_1_15_genomic.fna,99.9840
GCF_001431675.1_ASM143167v1_genomic.fna,99.9602
GCF_001433855.1_ASM143385v1_genomic.fna,99.9436
GCF_001457635.1_NCTC7465_genomic.fna,99.9051
GCF_001457655.1_NCTC8143_genomic.fna,99.9999
GCF_001591065.1_ASM159106v1_genomic.fna,99.9715
GCF_001591525.1_ASM159152v1_genomic.fna,99.9912
GCF_001598475.1_ASM159847v1_genomic.fna,99.9893
GCF_001598695.1_ASM159869v1_genomic.fna,99.9927
GCF_001598895.1_ASM159889v1_genomic.fna,99.9831
GCF_001679535.1_ASM167953v1_genomic.fna,99.9051
GCF_001729745.1_ASM172974v1_genomic.fna,95.9760
GCF_001729785.1_ASM172978v1_genomic.fna,95.9760
GCF_001888925.1_ASM188892v1_genomic.fna,99.9404
GCF_002008145.1_ASM200814v1_genomic.fna,99.9922
GCF_002058765.1_ASM205876v1_genomic.fna,98.1801
GCF_002224265.1_ASM222426v1_genomic.fna,99.9715
GCF_003050665.1_ASM305066v1_genomic.fna,99.9918
GCF_003606265.1_ASM360626v1_genomic.fna,99.9944
GCF_004295525.1_HPATCC43504_01_genomic.fna,99.9918
GCF_006094375.1_ASM609437v1_genomic.fna,99.9931
GCF_006094455.1_ASM609445v1_genomic.fna,98.8149
GCF_006094495.1_ASM609449v1_genomic.fna,99.9912
GCF_006538545.1_ASM653854v1_genomic.fna,99.9776
GCF_006739205.1_ASM673920v1_genomic.fna,99.9988
GCF_006742065.1_ASM674206v1_genomic.fna,99.9950
GCF_006742205.1_ASM674220v1_genomic.fna,99.9964
GCF_009035845.1_ASM903584v1_genomic.fna,99.9960
GCF_013004645.1_ASM1300464v1_genomic.fna,99.9602
GCF_013009385.1_ASM1300938v1_genomic.fna,99.9803
GCF_014131755.1_ASM1413175v1_genomic.fna,99.9965
GCF_014131795.1_ASM1413179v1_genomic.fna,99.9950
GCF_016027375.1_ASM1602737v1_genomic.fna,98.9179
GCF_016103195.1_ASM1610319v1_genomic.fna,99.9965
GCF_017090145.1_ASM1709014v1_genomic.fna,99.9908
GCF_019048125.1_ASM1904812v1_genomic.fna,99.9946
GCF_019048245.1_ASM1904824v1_genomic.fna,94.8947
GCF_019048385.1_ASM1904838v1_genomic.fna,99.9893
GCF_019048645.1_ASM1904864v1_genomic.fna,99.9984
GCF_020099175.1_ASM2009917v1_genomic.fna,99.9999
GCF_020115515.1_ASM2011551v1_genomic.fna,99.9884
GCF_020115535.1_ASM2011553v1_genomic.fna,99.9912
GCF_020525685.1_ASM2052568v1_genomic.fna,96.5907
GCF_020525925.1_ASM2052592v1_genomic.fna,99.9999
GCF_020736045.1_ASM2073604v1_genomic.fna,99.9999
GCF_020736665.1_ASM2073666v1_genomic.fna,99.9944
GCF_022453665.1_ASM2245366v1_genomic.fna,99.9927
GCF_022630555.1_ASM2263055v1_genomic.fna,99.6246
GCF_022869645.1_ASM2286964v1_genomic.fna,99.9754
GCF_024618585.1_PDT001383139.1_genomic.fna,97.5635
GCF_025998455.1_ASM2599845v1_genomic.fna,94.9356
GCF_030297255.1_ASM3029725v1_genomic.fna,99.9840
GCF_034478925.1_ASM3447892v1_genomic.fna,99.6246
GCF_037213995.1_ASM3721399v1_genomic.fna,99.9668
GCF_040560265.1_ASM4056026v1_genomic.fna,99.9831
GCF_044360185.1_ASM4436018v1_genomic.fna,99.9975
GCF_900106225.1_PSA2_genomic.fna,98.6944
GCF_900186865.1_49243_F02_genomic.fna,99.9668
GCF_900444725.1_34576_B02_genomic.fna,99.9960
GCF_900445595.1_51334_D01_genomic.fna,99.9899
GCF_900458605.1_35910_G02_genomic.fna,99.9964
GCF_900461305.1_51470_G02_genomic.fna,99.9976
GCF_900475095.1_42197_E01_genomic.fna,99.9988
GCF_900636985.1_45889_C01_genomic.fna,99.9927
GCF_900638555.1_58116_A01_genomic.fna,99.9754
GCF_965135875.1_CIP103220T_genomic.fna,99.9786
GCF_965138055.1_CIP81.55T_genomic.fna,99.9746
