path	bytes	sha256
EXTERNAL_DATA.tsv	24971	70bd9560b7e3f77f0595ce46d9e0393d60812fe091432177e5134dac387a0b27
LICENSE	35149	3972dc9744f6499f0f9b2dbf76696f2ae7ad8af9b23dde66d6af86c9dfb36986
README.md	6167	331ad7c45f267fc128a9528d9f956946f8420f8db336ba973681cb97ea4902d1
build_bundle.py	21069	6a953ac6ff7992de0bafd1d32091a6549c32554e6614f55a23e5e378650c8fb1
config/classification/30strains_legacy.yaml	15735	c5a6f6fb75da40731e23c753b16a10913ee3ba8f2a59e8fec19ab98ce84408a0
config/classification/config.example.yaml	1790	62e45317374f6c95370aec8dcab44afd30deb326797d71268e6d2bca7379a6c3
config/common.yaml	2365	7648ff523de8c01763b626219ef8239784a536d08e1b97d24b92c00a2bc2636f
config/datasets/100strains.yaml	445	22bdbfa3baf67da41b37ad9c6a241c11819faea34c0a158a828e9d7678e3b138
config/datasets/100strains_legacy.yaml	410	a0019344a1579481c0bea307a3249086dfc476816635fbc8a5244a14f4aaccfb
config/datasets/30strains.yaml	874	7cd3f79f0fd928d3fd80aceead553851961940a77ea4142dbf40ecec9b968f3c
config/datasets/30strains_legacy.yaml	854	937d165b63a1799da28d1f640c283237693209de57ca018691b62b8c42ad6265
config/datasets/arabidopsis.yaml	782	71ed3a48683fc1b8335ffd18c85189441d30bb53d463bd519793c08c57aa717c
config/datasets/arabidopsis_genome_to_id.tsv	86	ad727cd0ec61cd16cf5274b6b8f379f901a44c63e21205a97fb8b4323e856065
config/datasets/arabidopsis_sim.yaml	414	0405c6f130fae215b0430188a58f4cf3fe1ede23519ba7ce5185f3f68324d917
config/datasets/drosophila.yaml	685	50032f2d57bd586d7a706272dd2bfe2742ab3b003e6ae554b911eb3ba112976e
config/datasets/drosophila_genome_to_id.tsv	108	051723ec91838811e12f55a677a6842f6d26b38e2dd4d5e5b8d835c3faea1601
config/datasets/drosophila_genome_to_id_GCA_018904365.tsv	106	8440f3df7b1e59f644591a9a7b343d9f5d2b30fbf3396a700c3e4c941cf0bc17
config/datasets/ecoli3.yaml	356	e8bc44830ec35312bb5aaa09570d960d8f7ac96740d16ba72d8c6e2935a26f10
config/datasets/ecoli3_error.yaml	767	6f6724a0b921d5999e356949807c2b482c92599254e432ec0dd0f6a8e0eb2aa4
