name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Helicobacter pylori	210	species	5058328	4693	2300	0.0469592
Acinetobacter baumannii	470	species	11893028	22741	514	0.0845826
Escherichia coli	562	species	5070115	3062	3037	0.0108722
Nitratidesulfovibrio vulgaris str. Hildenborough	882	strain	3773159	1848	1848	0.0440678
Streptococcus pneumoniae	1313	species	2160842	4057	1716	0.118809
Clostridium butyricum	1492	species	9410692	11133	1029	0.0633028
Clostridium perfringens	1502	species	3256683	988	908	0.00740955
Clostridium septicum	1504	species	6803993	10187	2405	0.0879983
Clostridium sporogenes	1509	species	12562466	24151	2279	0.0690604
Staphylococcus aureus subsp. aureus NCTC 8325	93061	strain	2821361	2968	2968	0.118136
Enterobacter hormaechei	158836	species	4670207	3710	3706	0.0531223
Streptococcus pneumoniae TIGR4	170187	strain	2160842	965	931	0.00176153
Clostridium perfringens ATCC 13124	195103	strain	3256683	2814	2734	0
Bacillus anthracis str. Ames	198094	strain	5227293	6633	243	0.155397
Trichodesmium erythraeum IMS101	203124	strain	7750108	6704	6704	0.0519092
Bacillus anthracis str. 'Ames Ancestor'	261594	strain	5227419	6426	36	0.00970603
Escherichia coli O157:H7 str. Sakai	386585	strain	5498578	3139	3137	0.0018514
Escherichia coli str. K-12 substr. MG1655	511145	leaf	4641652	2844	2819	0.016311
Clostridium saccharoperbutylacetonicum N1-4(HMT)	931276	leaf	6666445	4821	4821	0.0367626
Enterobacter hormaechei subsp. xiangfangensis	1296536	subspecies	4661849	3415	3413	0.0169843
Enterobacter hormaechei subsp. hoffmannii	1812934	subspecies	4678566	3320	3318	0.00499651
