name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Helicobacter pylori	210	species	5058328	4707	2286	0.0126879
Acinetobacter baumannii	470	species	11893028	18703	2216	0.3907
Escherichia coli	562	species	5070115	3114	3097	0.00233075
Nitratidesulfovibrio vulgaris str. Hildenborough	882	strain	3773159	1848	1848	0.0
Streptococcus pneumoniae	1313	species	2160842	4095	1843	0.269224
Clostridium butyricum	1492	species	9410692	8546	3873	0.0412223
Clostridium perfringens	1502	species	3256683	2004	1958	0
Clostridium septicum	1504	species	6803993	7794	5282	0.0257826
Clostridium sporogenes	1509	species	12562466	13300	6005	0.0296313
Staphylococcus aureus subsp. aureus NCTC 8325	93061	strain	2821361	3001	2999	0.0
Enterobacter hormaechei	158836	species	4670207	3750	3746	0.00183232
Streptococcus pneumoniae TIGR4	170187	strain	2160842	885	856	0.00204754
Clostridium perfringens ATCC 13124	195103	strain	3256683	1949	1905	0.00218967
Bacillus anthracis str. Ames	198094	strain	5227293	6493	133	0.0265171
Trichodesmium erythraeum IMS101	203124	strain	7750108	6728	6725	0.0
Bacillus anthracis str. 'Ames Ancestor'	261594	strain	5227419	6496	136	0.185475
Escherichia coli O157:H7 str. Sakai	386585	strain	5498578	2913	2911	1.8619e-16
Escherichia coli str. K-12 substr. MG1655	511145	leaf	4641652	3020	3003	0.0103592
Clostridium saccharoperbutylacetonicum N1-4(HMT)	931276	leaf	6666445	4926	4920	0.0
Enterobacter hormaechei subsp. xiangfangensis	1296536	subspecies	4661849	3483	3482	0.0
Enterobacter hormaechei subsp. hoffmannii	1812934	subspecies	4678566	3216	3215	0.0
