name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Helicobacter pylori	210	species	5058328	4705	2289	0.0
Acinetobacter baumannii	470	species	11893028	9263	7327	0.00283008
Escherichia coli	562	species	5070115	2824	2815	0.00486828
Nitratidesulfovibrio vulgaris str. Hildenborough	882	strain	3773159	1848	1848	0.241447
Streptococcus pneumoniae	1313	species	2160842	4217	1687	0.0280376
Clostridium butyricum	1492	species	9410692	10730	1406	0.00619943
Clostridium perfringens	1502	species	3256683	1291	1202	0.0039618
Clostridium septicum	1504	species	6803993	9570	2980	0.00230852
Clostridium sporogenes	1509	species	12562466	11847	8139	0.00500131
Staphylococcus aureus subsp. aureus NCTC 8325	93061	strain	2821361	2966	2966	0.270409
Enterobacter hormaechei	158836	species	4670207	3708	3702	0.0105703
Streptococcus pneumoniae TIGR4	170187	strain	2160842	901	859	0.00103843
Clostridium perfringens ATCC 13124	195103	strain	3256683	2507	2418	0.0118854
Bacillus anthracis str. Ames	198094	strain	5227293	6583	172	0.0231899
Trichodesmium erythraeum IMS101	203124	strain	7750108	6706	6706	0.173139
Bacillus anthracis str. 'Ames Ancestor'	261594	strain	5227419	6499	88	0.0463496
Escherichia coli O157:H7 str. Sakai	386585	strain	5498578	3330	3329	0.00326467
Escherichia coli str. K-12 substr. MG1655	511145	leaf	4641652	2871	2862	0.0
Clostridium saccharoperbutylacetonicum N1-4(HMT)	931276	leaf	6666445	4815	4815	0.146755
Enterobacter hormaechei subsp. xiangfangensis	1296536	subspecies	4661849	3408	3408	0.0115519
Enterobacter hormaechei subsp. hoffmannii	1812934	subspecies	4678566	3332	3332	0.00719414
