name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Helicobacter pylori	210	species	5058328	4899	2095	0.00364998
Acinetobacter baumannii	470	species	11893028	20394	1728	0.137129
Escherichia coli	562	species	5070115	3857	3837	0.00283227
Nitratidesulfovibrio vulgaris str. Hildenborough	882	strain	3773159	1847	1847	0.000543688
Streptococcus pneumoniae	1313	species	2160842	4626	2299	0.099683
Clostridium butyricum	1492	species	9410692	11638	498	0.217334
Clostridium perfringens	1502	species	3256683	2137	2045	0
Clostridium septicum	1504	species	6803993	10618	1932	0.0732651
Clostridium sporogenes	1509	species	12562466	19926	4746	0.0538882
Staphylococcus aureus subsp. aureus NCTC 8325	93061	strain	2821361	2966	2966	0.0625309
Enterobacter hormaechei	158836	species	4670207	3775	3769	0.00571034
Streptococcus pneumoniae TIGR4	170187	strain	2160842	288	280	0
Clostridium perfringens ATCC 13124	195103	strain	3256683	1664	1572	0.0107085
Bacillus anthracis str. Ames	198094	strain	5227293	6489	90	0.0796122
Trichodesmium erythraeum IMS101	203124	strain	7750108	6705	6705	0.0
Bacillus anthracis str. 'Ames Ancestor'	261594	strain	5227419	6581	182	0.250035
Escherichia coli O157:H7 str. Sakai	386585	strain	5498578	1089	1089	0.0
Escherichia coli str. K-12 substr. MG1655	511145	leaf	4641652	4087	4067	0
Clostridium saccharoperbutylacetonicum N1-4(HMT)	931276	leaf	6666445	4814	4814	0.00307723
Enterobacter hormaechei subsp. xiangfangensis	1296536	subspecies	4661849	4130	4130	0.0
Enterobacter hormaechei subsp. hoffmannii	1812934	subspecies	4678566	2543	2543	0.0
