name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Helicobacter pylori	210	species	5058328	4093	2898	0.0
Acinetobacter baumannii	470	species	11893028	9950	6968	0.183852
Escherichia coli	562	species	5070115	2192	2183	0.0
Nitratidesulfovibrio vulgaris str. Hildenborough	882	strain	3773159	1833	1833	0.0
Streptococcus pneumoniae	1313	species	2160842	4920	2555	0.718866
Clostridium butyricum	1492	species	9410692	7373	4783	0.0
Clostridium perfringens	1502	species	3256683	414	403	0.0
Clostridium septicum	1504	species	6803993	8756	4934	0.00226312
Clostridium sporogenes	1509	species	12562466	12976	7512	0.0870273
Staphylococcus aureus subsp. aureus NCTC 8325	93061	strain	2821361	2980	2979	0.0
Enterobacter hormaechei	158836	species	4670207	3511	3507	0.0
Streptococcus pneumoniae TIGR4	170187	strain	2160842	114	84	0.00799133
Clostridium perfringens ATCC 13124	195103	strain	3256683	3305	3293	0.0
Bacillus anthracis str. Ames	198094	strain	5227293	6556	142	0.0
Trichodesmium erythraeum IMS101	203124	strain	7750108	6688	6688	0.0
Bacillus anthracis str. 'Ames Ancestor'	261594	strain	5227419	6464	50	0.0
Escherichia coli O157:H7 str. Sakai	386585	strain	5498578	3960	3953	0.0
Escherichia coli str. K-12 substr. MG1655	511145	leaf	4641652	2866	2857	0.0
Clostridium saccharoperbutylacetonicum N1-4(HMT)	931276	leaf	6666445	4289	4289	0.0
Enterobacter hormaechei subsp. xiangfangensis	1296536	subspecies	4661849	3694	3690	0.0
Enterobacter hormaechei subsp. hoffmannii	1812934	subspecies	4678566	3251	3247	0.0
